__id_std_norm,expected_events_sum,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost,actual_pm_count,labor_hours_sum,labor_cost_sum,materials_cost_sum,total_task_cost_sum,expected_events_gap,expected_total_cost_gap,expected_labor_hours_gap
100001,8,4.275222,300.72,0.0,300.72,4,2.137611,150.36,0.0,150.36,4,150.36,2.137611
100002,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100003,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100004,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100006,8,2.910892,209.82,0.0,209.82,4,1.455446,104.91,0.0,104.91,4,104.91,1.455446
100007,7,2.5470305,183.5925,0.0,183.5925,4,1.455446,104.91,0.0,104.91,3,78.6825,1.0915845
100008,8,2.910892,209.82,0.0,209.82,4,1.455446,104.91,0.0,104.91,4,104.91,1.455446
100009,4,1.455446,104.91,0.0,104.91,4,1.455446,104.91,0.0,104.91,0,0.0,0.0
100010,4,1.455446,104.91,0.0,104.91,4,1.455446,104.91,0.0,104.91,0,0.0,0.0
100011,4,1.455438,104.91,0.0,104.91,4,1.455438,104.91,0.0,104.91,0,0.0,0.0
100012,8,5.700296000000001,400.96000000000004,0.0,400.96000000000004,3,2.137611,150.36,0.0,150.36,5,250.60000000000002,3.5626850000000005
100013,4,1.455386,104.91,0.0,104.91,4,1.455386,104.91,0.0,104.91,0,0.0,0.0
100015,4,1.455446,104.91,0.0,104.91,4,1.455446,104.91,0.0,104.91,0,0.0,0.0
100016,4,1.455446,104.91,0.0,104.91,4,1.455446,104.91,0.0,104.91,0,0.0,0.0
100017,4,1.455446,104.91,0.0,104.91,4,1.455446,104.91,0.0,104.91,0,0.0,0.0
